id,name,artist,album,genre,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,loudness,popularity,year
1,Gurenge,LiSA,Demon Slayer OST,Action,0.69,0.82,0.51,160.0,0.02,0.0,0.112,0.042,-5.2,97,2019
2,Homura,LiSA,Demon Slayer Movie OST,Emotional,0.54,0.71,0.38,140.0,0.05,0.0,0.104,0.031,-7.1,95,2020
3,Unravel,TK from Ling Tosite Sigure,Tokyo Ghoul OST,Action,0.48,0.76,0.19,168.0,0.01,0.0,0.089,0.045,-5.8,95,2014
4,Kaikai Kitan,Eve,Jujutsu Kaisen OST,Action,0.68,0.74,0.45,160.0,0.03,0.0,0.121,0.063,-6.1,96,2020
5,Guren no Yumiya,Linked Horizon,Attack on Titan OST,Action,0.52,0.93,0.35,150.0,0.004,0.0,0.148,0.052,-4.3,94,2013
6,Silhouette,KANA-BOON,Naruto Shippuden OST,Action,0.75,0.80,0.65,178.0,0.018,0.0,0.094,0.037,-5.4,93,2014
7,Blue Bird,Ikimono Gakari,Naruto Shippuden OST,J-Pop,0.70,0.71,0.72,155.0,0.04,0.0,0.102,0.034,-6.3,92,2008
8,A Cruel Angels Thesis,Yoko Takahashi,Neon Genesis Evangelion OST,J-Pop,0.72,0.73,0.70,156.0,0.06,0.0,0.118,0.040,-6.0,94,1995
9,Connect,ClariS,Puella Magi Madoka Magica OST,Fantasy,0.72,0.64,0.62,138.0,0.03,0.0,0.108,0.038,-6.8,91,2011
10,Crossing Field,LiSA,Sword Art Online OST,Action,0.67,0.84,0.55,170.0,0.02,0.0,0.097,0.041,-5.1,93,2012
11,Idol,YOASOBI,Oshi no Ko OST,J-Pop,0.80,0.78,0.72,155.0,0.01,0.0,0.103,0.078,-5.5,98,2023
12,Sparkle,RADWIMPS,Your Name OST,Emotional,0.57,0.61,0.64,145.0,0.09,0.0,0.114,0.039,-7.4,94,2016
13,Zenzenzense,RADWIMPS,Your Name OST,J-Pop,0.75,0.80,0.71,184.0,0.02,0.0,0.107,0.043,-5.2,93,2016
14,Hikaru Nara,Goose House,Your Lie in April OST,Romance,0.62,0.60,0.64,148.0,0.12,0.0,0.116,0.036,-7.1,92,2014
15,Again,YUI,Fullmetal Alchemist Brotherhood OST,Action,0.63,0.78,0.45,158.0,0.04,0.0,0.099,0.048,-5.9,92,2009
16,Peace Sign,Kenshi Yonezu,My Hero Academia OST,Action,0.73,0.80,0.67,182.0,0.02,0.0,0.093,0.041,-5.3,93,2017
17,Cry Baby,Official HIGE DANdism,Tokyo Revengers OST,Action,0.72,0.85,0.51,170.0,0.01,0.0,0.098,0.062,-4.8,95,2021
18,Bling-Bang-Bang-Born,Creepy Nuts,Mashle OST,Hype,0.88,0.82,0.74,170.0,0.008,0.0,0.112,0.083,-4.5,97,2024
19,Fly High,BURNOUT SYNDROMES,Haikyuu OST,Sports,0.65,0.87,0.61,168.0,0.01,0.0,0.124,0.041,-4.6,92,2016
